className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
ButtonPartTest,ButtonPartTest6,ButtonPart,50.00,50.00,0.00,2,24,12,0,0,2,0,2,0,0,0,0,1,4,2,False,0
CheckboxPartTest,CheckboxPartTest10,CheckboxPart,10.00,70.00,60.00,1,66,6,39,1,9,6,3,5,6,0,1,1,10,1,False,0
DistributionMapExampleTest,DistributionMapExampleTest6,DistributionMapExample,38.89,38.89,0.00,1,167,12,0,0,22,0,22,7,366,0,0,269,36,1,False,0
DropListPartTest,DropListPartTest10,DropListPart,30.77,38.46,7.69,1,85,8,42,1,18,2,16,8,8,0,1,1,26,1,False,0
FAMIXInvocationGroupTest,FAMIXInvocationGroupTest4,FAMIXInvocationGroup,0.00,0.00,0.00,1,6,48,0,0,1,0,1,0,0,0,0,2,1,1,False,0
MooseFameViewTest,MooseFameViewTest6,MooseFameView,28.57,28.57,0.00,2,32,4,0,0,10,0,10,1,7,0,0,310,14,2,False,0
MooseFinderTest,MooseFinderTest12,MooseFinder,0.00,0.00,0.00,5,28,94,0,0,6,0,6,2,0,0,0,5,6,10,False,0
