className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
JQAjaxTest16To30,JQAjaxTest70,JQAjax,60.00,60.00,0.00,15,240,89,0,0,32,0,32,19,394,0,15,4,80,50,False,0
JQAjaxTest1To15,JQAjaxTest81,JQAjax,60.00,60.00,0.00,15,240,79,0,0,32,0,32,20,379,0,15,3,80,50,False,0
JQAjaxTest31To45,JQAjaxTest72,JQAjax,60.00,60.00,0.00,15,240,96,0,0,32,0,32,15,383,0,15,4,80,50,False,0
JQAjaxTest46To50,JQAjaxTest27,JQAjax,60.00,60.00,0.00,5,240,28,0,0,32,0,32,20,103,0,5,3,80,50,False,0
JQEffectTest,JQEffectTest24,JQEffect,87.50,87.50,0.00,6,156,128,0,0,4,0,4,17,369,0,6,3,32,6,False,0
JQueryClassTest16To30,JQueryClassTest79,JQueryClass,78.38,78.38,0.00,15,113,69,0,0,8,0,8,10,57,0,15,3,37,30,False,0
JQueryClassTest1To15,JQueryClassTest86,JQueryClass,78.38,78.38,0.00,15,113,71,0,0,8,0,8,8,92,0,15,3,37,30,False,0
JQueryInstanceTest16To30,JQueryInstanceTest68,JQueryInstance,35.48,35.48,0.00,15,727,119,0,0,20,0,20,136,490,0,15,4,31,96,False,0
JQueryInstanceTest1To15,JQueryInstanceTest67,JQueryInstance,35.48,35.48,0.00,15,727,251,0,0,20,0,20,107,691,0,15,3,31,96,False,0
JQueryInstanceTest31To45,JQueryInstanceTest61,JQueryInstance,35.48,35.48,0.00,15,727,165,0,0,20,0,20,111,451,0,15,3,31,96,False,0
JQueryInstanceTest46To60,JQueryInstanceTest60,JQueryInstance,35.48,35.48,0.00,15,727,199,0,0,20,0,20,106,574,0,15,5,31,96,False,0
JQueryInstanceTest61To75,JQueryInstanceTest67,JQueryInstance,35.48,35.48,0.00,15,727,91,0,0,20,0,20,142,259,0,15,3,31,96,False,0
JQueryInstanceTest76To90,JQueryInstanceTest61,JQueryInstance,35.48,35.48,0.00,15,727,104,0,0,20,0,20,127,283,0,15,4,31,96,False,0
JQueryInstanceTest91To96,JQueryInstanceTest28,JQueryInstance,35.48,35.48,0.00,6,727,44,0,0,20,0,20,144,96,0,6,3,31,96,False,0
JSDecorationTest16To23,JSDecorationTest52,JSDecoration,33.33,33.33,0.00,8,10,58,0,0,2,0,2,2,31,0,8,2,3,23,False,0
JSDecorationTest1To15,JSDecorationTest94,JSDecoration,33.33,33.33,0.00,15,10,119,0,0,2,0,2,2,98,0,15,3,3,23,False,0
JSScriptTest,JSScriptTest77,JSScript,57.14,57.14,0.00,15,41,92,0,0,3,0,3,1,60,0,15,3,7,15,False,0
JSStreamTest16To18,JSStreamTest19,JSStream,50.00,50.00,0.00,3,189,19,0,0,12,0,12,5,32,0,3,4,24,18,False,0
JSStreamTest1To15,JSStreamTest83,JSStream,50.00,50.00,0.00,15,189,71,0,0,12,0,12,2,93,0,15,2,24,18,False,0
WAAnchorTagTest,WAAnchorTagTest37,WAAnchorTag,66.67,66.67,0.00,8,78,107,0,0,4,0,4,7,21,0,8,4,12,8,False,0
WAApplicationTest1To4,WAApplicationTest100,WAApplication,37.04,66.67,29.63,16,106,77,97,6,17,8,9,8,131,3,16,5,27,4,False,0
WABidirectionalCacheTest,WABidirectionalCacheTest58,WABidirectionalCache,60.00,65.00,5.00,9,63,73,11,1,8,1,7,3,431,0,9,3,20,5,False,0
WABlockMimeDocumentTest,WABlockMimeDocumentTest40,WABlockMimeDocument,75.00,75.00,0.00,6,19,42,0,0,2,0,2,1,62,0,6,1,8,6,False,0
WAComboResponseTest1To3,WAComboResponseTest150,WAComboResponse,42.55,48.94,6.38,28,136,41,21,1,27,3,24,5,748,0,25,3,47,3,True,0
WAComponentTest,WAComponentTest72,WAComponent,51.22,57.32,6.10,15,238,316,46,2,40,5,35,40,766,0,10,3,82,15,True,0
WACookieForBrowserIPForCrawlerTrackingStrategyTest,WACookieForBrowserIPForCrawlerTrackingStrategyTest16,WACookieForBrowserIPForCrawlerTrackingStrategy,43.75,43.75,0.00,2,32,33,0,0,9,0,9,5,4,0,2,1,16,2,False,0
WACookieIfSupportedSessionTrackingStrategyTest,WACookieIfSupportedSessionTrackingStrategyTest88,WACookieIfSupportedSessionTrackingStrategy,0.00,0.00,0.00,14,24,16,0,0,15,0,15,0,65,0,14,4,15,2,False,0
WACookieOnlySessionTrackingStrategyTest,WACookieOnlySessionTrackingStrategyTest82,WACookieOnlySessionTrackingStrategy,0.00,0.00,0.00,13,14,8,0,0,6,0,6,0,37,0,13,3,6,1,False,0
WACookieTest1To15,WACookieTest94,WACookie,50.00,56.06,6.06,15,168,193,27,1,33,4,29,9,209,0,15,3,66,16,False,0
WACurrentRequestContextTest,WACurrentRequestContextTest16,WACurrentRequestContext,0.00,0.00,0.00,2,4,6,0,0,1,0,1,0,3,0,2,1,1,2,False,0
WADispatcherTest,WADispatcherTest88,WADispatcher,36.67,46.67,10.00,14,81,44,46,3,19,3,16,5,197,1,14,3,30,3,False,0
WADocumentHandlerTest,WADocumentHandlerTest76,WADocumentHandler,47.37,73.68,26.32,12,41,12,26,1,10,5,5,1,168,0,12,2,19,1,False,0
WAEnterpriseAuberginesStrategyTest,WAEnterpriseAuberginesStrategyTest88,WAEnterpriseAuberginesStrategy,23.81,23.81,0.00,14,28,24,0,0,16,0,16,0,49,0,14,4,21,3,False,0
WAErrorHandlerTest,WAErrorHandlerTest70,WAErrorHandler,38.46,38.46,0.00,11,18,30,0,0,8,0,8,0,71,0,11,2,13,4,False,0
WAFileHandlerTest1To5,WAFileHandlerTest100,WAFileHandler,65.38,73.08,7.69,16,62,67,12,1,9,2,7,1,241,2,16,4,26,5,False,0
WAFileLibraryTest16To17,WAFileLibraryTest16,WAFileLibrary,57.58,57.58,0.00,2,123,48,0,0,14,0,14,7,23,0,2,6,33,17,False,0
WAFileLibraryTest1To15,WAFileLibraryTest94,WAFileLibrary,57.58,57.58,0.00,15,123,189,0,0,14,0,14,7,167,0,15,15,33,17,False,0
WAFileMetadataLibraryTest,WAFileMetadataLibraryTest82,WAFileMetadataLibrary,46.34,46.34,0.00,13,178,145,0,0,22,0,22,12,96,0,13,35,41,13,False,0
WAFileTest,WAFileTest40,WAFile,89.47,92.11,2.63,6,38,47,11,1,4,1,3,0,26,0,6,2,38,6,False,0
WAFormTagTest,WAFormTagTest33,WAFormTag,91.67,91.67,0.00,5,39,50,0,0,2,0,2,0,12,0,5,3,24,5,False,0
WAHeaderFieldsTest1To5,WAHeaderFieldsTest211,WAHeaderFields,83.33,94.44,11.11,35,10,70,22,1,3,2,1,0,254,2,35,4,18,5,False,0
WAHtmlAttributesTest,WAHtmlAttributesTest49,WAHtmlAttributes,94.74,94.74,0.00,8,40,83,0,0,1,0,1,1,52,0,8,3,19,8,False,0
