className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
PMGaussianGeneratorTest,PMGaussianGeneratorTest7,PMGaussianGenerator,86.36,95.45,9.09,1,27,29,0,0,3,2,1,0,89,0,1,14,22,1,False,0
PMHeunStepperTest,PMHeunStepperTest28,PMHeunStepper,92.31,92.31,0.00,5,18,94,0,0,1,0,1,0,11,0,5,2,13,5,False,0
PMHyperDualNumberTest,PMHyperDualNumberTest66,PMHyperDualNumber,82.17,91.08,8.92,28,172,235,73,11,28,14,18,3,530,3,13,3,157,28,False,7
PMImplicitMidpointSolverTest,PMImplicitMidpointSolverTest8,PMImplicitMidpointSolver,42.86,42.86,0.00,1,19,8,0,0,4,0,4,0,2,0,1,1,7,1,False,0
PMImplicitMidpointStepperTest,PMImplicitMidpointStepperTest28,PMImplicitMidpointStepper,93.75,93.75,0.00,5,19,71,0,0,1,0,1,0,11,0,5,3,16,5,False,0
PMJacobiTransformationTest,PMJacobiTransformationTest13,PMJacobiTransformation,15.29,15.29,0.00,2,142,15,0,0,72,0,72,1,24,0,2,1,85,2,False,0
PMKDTreeTest,PMKDTreeTest7,PMKDTree,92.50,92.50,0.00,13,62,131,0,0,3,0,3,0,739,0,1,3379,40,13,True,0
PMKolmogorovSmirnov1SampleTest,PMKolmogorovSmirnov1SampleTest28,PMKolmogorovSmirnov1Sample,72.73,90.91,18.18,5,40,47,0,0,3,2,1,1,97,0,5,189,11,5,False,0
PMKolmogorovSmirnov2SampleTest,PMKolmogorovSmirnov2SampleTest23,PMKolmogorovSmirnov2Sample,85.45,90.91,5.45,4,94,50,0,0,8,3,5,1,105,0,4,4,55,4,False,0
PMKolmogorovsDistributionTest,PMKolmogorovsDistributionTest18,PMKolmogorovsDistribution,78.38,78.38,0.00,3,51,36,0,0,16,0,16,1,7,0,3,2,74,3,False,0
