className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
JQAjaxTest16To30,JQAjaxTest41,JQAjax,60.00,60.00,0.00,15,240,99,0,0,32,0,32,14,330,0,15,4,80,50,False,0
JQAjaxTest1To15,JQAjaxTest44,JQAjax,60.00,60.00,0.00,15,240,91,0,0,32,0,32,17,369,0,15,4,80,50,False,0
JQAjaxTest31To45,JQAjaxTest41,JQAjax,60.00,60.00,0.00,15,240,80,0,0,32,0,32,18,443,0,15,4,80,50,False,0
JQAjaxTest46To50,JQAjaxTest19,JQAjax,60.00,60.00,0.00,5,240,37,0,0,32,0,32,19,153,0,5,3,80,50,False,0
JQEffectTest,JQEffectTest16,JQEffect,87.50,87.50,0.00,6,156,128,0,0,4,0,4,17,451,0,6,3,32,6,False,0
JQueryClassTest16To30,JQueryClassTest54,JQueryClass,78.38,78.38,0.00,15,113,64,0,0,8,0,8,9,95,0,15,3,37,30,False,0
JQueryClassTest1To15,JQueryClassTest54,JQueryClass,78.38,78.38,0.00,15,113,72,0,0,8,0,8,9,95,0,15,4,37,30,False,0
JQueryInstanceTest16To30,JQueryInstanceTest40,JQueryInstance,35.48,35.48,0.00,15,727,175,0,0,20,0,20,102,608,0,15,4,31,96,False,0
JQueryInstanceTest1To15,JQueryInstanceTest36,JQueryInstance,35.48,35.48,0.00,15,727,97,0,0,20,0,20,135,228,0,15,4,31,96,False,0
JQueryInstanceTest31To45,JQueryInstanceTest40,JQueryInstance,35.48,35.48,0.00,15,727,91,0,0,20,0,20,132,422,0,15,3,31,96,False,0
JQueryInstanceTest46To60,JQueryInstanceTest32,JQueryInstance,35.48,35.48,0.00,15,727,91,0,0,20,0,20,135,245,0,15,4,31,96,False,0
JQueryInstanceTest61To75,JQueryInstanceTest29,JQueryInstance,35.48,35.48,0.00,15,727,101,0,0,20,0,20,132,245,0,15,4,31,96,False,0
JQueryInstanceTest76To90,JQueryInstanceTest31,JQueryInstance,35.48,35.48,0.00,15,727,121,0,0,20,0,20,138,401,0,15,5,31,96,False,0
JQueryInstanceTest91To96,JQueryInstanceTest15,JQueryInstance,35.48,35.48,0.00,6,727,37,0,0,20,0,20,140,113,0,6,3,31,96,False,0
JSDecorationTest16To23,JSDecorationTest43,JSDecoration,33.33,33.33,0.00,8,10,61,0,0,2,0,2,2,38,0,8,3,3,23,False,0
JSDecorationTest1To15,JSDecorationTest78,JSDecoration,33.33,33.33,0.00,15,10,113,0,0,2,0,2,2,89,0,15,3,3,23,False,0
JSScriptTest,JSScriptTest34,JSScript,57.14,57.14,0.00,15,41,92,0,0,3,0,3,1,73,0,15,4,7,15,False,0
JSStreamTest16To18,JSStreamTest14,JSStream,50.00,50.00,0.00,3,189,20,0,0,12,0,12,12,21,0,3,2,24,18,False,0
JSStreamTest1To15,JSStreamTest53,JSStream,50.00,50.00,0.00,15,189,74,0,0,12,0,12,3,105,0,15,3,24,18,False,0
WAAnchorTagTest,WAAnchorTagTest28,WAAnchorTag,66.67,66.67,0.00,8,78,107,0,0,4,0,4,7,24,0,8,3,12,8,False,0
WAApplicationTest1To4,WAApplicationTest83,WAApplication,37.04,62.96,25.93,16,106,77,55,4,17,7,10,8,174,2,16,6,27,4,False,0
WABidirectionalCacheTest,WABidirectionalCacheTest48,WABidirectionalCache,60.00,65.00,5.00,9,63,73,11,1,8,1,7,3,206,2,9,3,20,5,False,0
WABlockMimeDocumentTest,WABlockMimeDocumentTest33,WABlockMimeDocument,75.00,75.00,0.00,6,19,42,0,0,2,0,2,1,29,0,6,2,8,6,False,0
