className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
WAMutexTest,WAMutexTest20,WAMutex,88.89,88.89,0.00,6,23,101,0,0,1,0,1,0,225,0,1,2,9,6,False,0
WAObjectTest,WAObjectTest16,WAObject,50.00,50.00,0.00,2,13,11,0,0,2,0,2,0,4,0,2,1,4,2,False,0
WAPharoEncoderTest,WAPharoEncoderTest84,WAPharoEncoder,66.67,73.91,7.25,14,78,54,42,1,23,5,18,12,78,1,14,3,69,5,False,0
WARegistryTest,WARegistryTest82,WARegistry,44.00,52.00,8.00,13,126,46,16,1,14,2,12,11,187,1,13,3,25,2,False,0
WARenderContextTest,WARenderContextTest13,WARenderContext,53.33,53.33,0.00,2,79,26,0,0,14,0,14,10,5,0,2,1,30,2,False,0
WARenderLoopContinuationTest,WARenderLoopContinuationTest10,WARenderLoopContinuation,10.00,10.00,0.00,1,77,11,0,0,18,0,18,5,3,0,1,2,20,1,False,0
WARequestContextTest,WARequestContextTest10,WARequestContext,12.33,35.62,23.29,1,170,15,98,2,64,17,47,6,33,1,1,1,73,1,False,0
WARequestTest,WARequestTest58,WARequest,64.42,75.96,11.54,9,212,91,56,1,37,12,25,11,120,0,9,2,104,9,False,0
WAResponseGeneratorTest,WAResponseGeneratorTest28,WAResponseGenerator,40.00,40.00,0.00,5,100,35,0,0,9,0,9,3,135,0,5,3,15,5,False,0
WAServerManagerTest,WAServerManagerTest22,WAServerManager,54.76,69.05,14.29,3,74,52,35,1,19,6,13,2,18,1,3,1,42,3,False,0
WASessionTest,WASessionTest10,WASession,41.18,50.00,8.82,1,99,54,29,1,20,3,17,7,17,0,1,3,34,1,False,0
WAStreamedResponseTest1To9,WAStreamedResponseTest161,WAStreamedResponse,86.36,86.36,0.00,34,56,82,0,0,3,0,3,1,173,0,34,3,22,9,False,0
WAUnidirectionalCacheTest,WAUnidirectionalCacheTest18,WAUnidirectionalCache,80.00,100.00,20.00,5,31,25,17,1,1,1,0,2,42,0,1,2,5,1,False,0
WAXmlCanvasTest,WAXmlCanvasTest8,WAXmlCanvas,33.33,33.33,0.00,1,25,12,0,0,2,0,2,1,1,0,1,1,3,1,False,0
